5,Remove Top Cover,"H, H+R",,"Two scenarios are possible to remove the top cover
-S1. H completes the operation alone 
-S2. H and R collaborate to complete the operation ",,,,,,,,
5.1,Tool change ,"H, R","All case screws 
removed. 
Clips identified ","R loads the gripper tool 
H fetches the spudger lever","H,R, 
H-F,R-F",NLP for H to R commands,Voice signal (change tool),"Gripper 
Spudge lever","Arkite,
RealWear ",Tool change routines completed. ,,
5.2A,"Release/unlock case snap fits
(pull out clips)",H ,"Tools ready 
Clips identified ","H employs a spudger lever tool to release the safe
R gripper fetches the case ","H, H-F, R-F","R-F recognizes human activity : gesture recognition (H is executing the operation, H completed the operation)
NLP for H to R commands : H triggers by voice the start of cover removal by robot once the snap fits are unlocked
NLP for R to H assistance request: in case R cannot remove cover it asks H to retry to unlock the clips /troubleshoot the situation  ",Voice signal ,Spudger lever,"RGB / RGBD  camera
RealWear ","Snap fits unlocked. 
R-F acknowledges the completion of the operation. ",,
5.2B,Remove Cover ,"H, R ",Snap fits unlocked ,Once the snap fits  were unlocked  H commands by voice the lifting of the cover by the R. R lifts the cover and places it in a dedicated container ,"R,H-F,R-F",R-F recognizes H and R activity ,Goal position for the case container ,Gripper ,"RGBD
Force sensor ",R-F acknowledges the current state of the pack. Suggestions are made in case the current and expected states do not match (this outcome can be considered at the end of most relevant operations including  HRI ).,,
,,,,,,,,,,,,
6,Extract battery pack ,H ,Cover removed , ,H,,,,,,,
6.1A,Remove plastic bag ,H,"Battery pack removed
 from the case ",H removes the plastic bag,H,N/A,,by hand,N/A,Plastic bag removed ,,
6.1B,Extract pack ,H,Plastic bag removed ,"H extracts the battery pack, disconnecst the plugs and wirings  and places it into the fixture with the BMS side up
","H, R-F",NLP for H to R step completion,,by hand,N/A,Battery pack without case extracted and fixtured ,,
,,,,,,,,,,,,
7,Remove BMS and flexible components ,"H, H+R",,,,"A top-view camera takes a picture of the table and acknowledges the pack is correctly positioned / fixtured.
In case the BMS and the screws are not visible , R-F can solicit H to re-position the battery pack. ",,,,,,
7.1,Unscrewing,"H, R, H+R","Battery pack fixtured
 with BMS side up",same as 4.2 ,,,same as 4.2 ,,,BMS screws removed ,,
7.2,Cut / unsolder the  BMS connectors ,"H, R?",BMS screws removed ,H cuts all BMS connectors ,,N/A,,Pliers ,,R-F acknowledges the current state of the pack. Suggestions are made in case the current and expected states do not match. ,,Task feasability with  the robot to be confirmed (FANUC - SUPSI tests)
7.3,Removal of the BMS and the wiring harness,H,"All BMS connectors
  removed ",Once all BMS connectors were removed H removes the BMS together with the wiring harness and places it dedicated container. ,,N/A,,by hand ,,,,
,,,,,,,,,,,,
8,Remove non-detachable connections ,H,,,,,,,,,,
8.1,Removal of accesible module connectors (unweld battery cells),"H, R?",Battery pack fixtured with battery connector foils side up ,"Currently it is considered that H removes mechanically  the connectors with an adapted tool. 
The connectors are present on both sides of the
 battery cells. In consequence this operation should be executed twice (H flips and re-fixtures the battery pack)",," A top-view camera takes a picture of the table and acknowledges the pack is correctly positioned / fixtured.
R-F suggest possible strategies and tools required to safely remove the battery cell connectors.",,Pliers ,"RGB / RGBD 
 camera",,,Task feasability with  the robot to be confirmed (FANUC - SUPSI tests)
8.2,(Remove glue) ,H,,"Optional operation 
(in function of the type of battery pack,
 an additional operation to remove the glue present 
between battery cells might be required ).   ",,,,,,,,
,,,,,,,,,,,,
9,"Remove  blind screws 
(battery cells case) ","H,R,H+R",,The blind screws are  present on the two sides of the 2-piece case holding together the battery cells. ,,,,,,,,
9.1,Tool change ,"H,R ",Battery pack repositioned ,In case the R perfomed a tool change for the previous operation (cut BMS connectors) a new tool change is required for the R to load the screwdriver,,,Type of screws ,,RGB/RGBD camera,,,
9.2,Unscrewing ,"H, R, H+R",,"The removal on the screws can be done only on one side (applicable only for the Yamaha pack, other packs might require different setups )",,"R-F detects R keeps on failing to execute the operation. It suggests the H takes over / teaches R  how to do it. 
Alternatively,  H might notice the issues the R is having and triggers by voice a supporting action.  
NLP for H to R commands/ assistance",same as 4.2,,,Blind screws (battery cell case) removed ,,Task feasability with  the robot to be confirmed (FANUC - SUPSI tests)
,,,,,,,,,,,,
10,Extract battery cells ,,,Exact posible scenarios to be defined. ,,,,,,,,
10.1,Remove top half of the battery cells' case ,"H,R ","Tool ready 
All battery connectors removed 
Battery pack fixtured ",Either H or R can remove the top half of the battery cell case. ,,,,"by hand 
Gripper",,,,
10.2,Extract cells ,"H, R ","Bottom-hald 
case unfixtured ","If the  inspection of the state the cells is of no interest at this stage, all battery cells can be for instance collected at once by simply turning upside down the bottom-half case over a dedicated container. ",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
